AP Research,16.7,18,35.2,27.1,3
Computer Science Principles,14,21.6,39,18.5,6.9
Japanese Language,45.6,10.8,20.8,8.5,14.3
Spanish Language,19.5,35.0,34.1,9.9,1.5
Statistics,13.3,15.5,25,20.4,25.8
Chinese Language,68.4,11.3,12.5,3.3,4.5
Latin,12.9,19.5,31.2,22.7,13.7
Music Theory,19.2,17.2,24.7,24.6,14.3
Psychology,18.8,25.2,20.1,14.7,21.2
German Language,22.6,24.5,28.8,17.4,6.7
English Language and Composition,9.1,18.4,27.8,30.7,14
French Language,16.8,25,33.5,19.7,5
Italian Language,17.8,19.1,34.3,22.8,6
Calculus AB,18.6,18.1,21,21.9,20.4
Calculus BC,42.4,18.3,19.9,14.3,5.1
Biology,6.2,20.9,36.7,27.8,8.4
English Literature and Composition,6.8,16.1,29.9,33.9,13.3
Studio Art 2D Design,19.1,31.3,34.7,13.1,1.8
Studio Art 3D Design,12.1,22.1,37.6,25.1,3.1
Studio Art Drawing,21.9,27.8,35.9,12.8,1.6
European History,9.5,18.8,28.5,31.4,11.8
United States History,10.9,17.9,22.6,23.5,25.1
World History,8.5,20.1,27,29.5,14.9
AP Seminar,6.6,15.2,64.9,11.7,1.6
Spanish Literature,9.4,26,37.9,20.3,6.4
Chemistry,9.2,15.7,26.1,27,22
Comparative Government and Politics,23.7,24.7,20.5,17.8,13.3
US Government & Politics,11.2,12.5,25.8,24.7,25.8
Art History,11,23.1,27.3,26.2,12.4
Human Geography,10.6,17.4,21,17.2,33.8
Physics 1,5,15.8,20.3,29.5,29.4
Physics 2,11.1,15.6,34.1,29.7,9.5
Physics C E&M,28.1,25.1,15.6,18.2,13
Physics C Mech,34.7,27.8,16.1,13,8.4
Computer Science A,24.4,20.9,21.9,11.5,21.3
Environmental Science,9.4,24.5,15.5,24.6,26
Macroeconomics,16.4,23.1,17.2,16.2,27.1
Microeconomics,21.5,28.3,18.5,12.8,18.9
