ANNUAL AP PROGRAM PARTICIPATION 1956-2017,,,,,,,,,,,,,,,,,,,,,, ,,,,
Year,Schools*,Students,no data,Exams,Colleges,,,,,,,,,,,,,,,,,,,,,
1955-56,104,"1,229",no data,"2,199",130,,,,,,,,,,,,,,,,,,,,,
1956-57,212,"2,068",no data,"3,772",201,,,,,,,,,,,,,,,,,,,,,
1957-58,355,"3,715",no data,"6,800",279,,,,,,,,,,,,,,,,,,,,,
1958-59,560,"5,862",no data,"8,265",391,,,,,,,,,,,,,,,,,,,,,
1959-60,890,"10,531",no data,"14,158",567,,,,,,,,,,,,,,,,,,,,,
1960-61,"1,126","13,283",no data,"17,603",617,,,,,,,,,,,,,,,,,,,,,
1961-62,"1,358","16,255",no data,"21,451",683,,,,,,,,,,,,,,,,,,,,,
1962-63,"1,681","21,769",no data,"28,762",765,,,,,,,,,,,,,,,,,,,,,
1963-64,"2,086","28,874",no data,"37,829",888,,,,,,,,,,,,,,,,,,,,,
1964-65,"2,369","34,278",no data,"45,110",994,,,,,,,,,,,,,,,,,,,,,
1965-66,"2,518","38,178",no data,"50,104","1,076",,,,,,,,,,,,,,,,,,,,,
1966-67,"2,746","42,383",no data,"54,812","1,133",,,,,,,,,,,,,,,,,,,,,
1967-68,"2,863","46,917",no data,"60,674","1,193",,,,,,,,,,,,,,,,,,,,,
1968-69,"3,095","53,363",no data,"69,418","1,288",,,,,,,,,,,,,,,,,,,,,
1969-70,"3,186","55,442",no data,"71,495","1,368",,,,,,,,,,,,,,,,,,,,,
1970-71,"3,342","57,850",no data,"74,409","1,382",,,,,,,,,,,,,,,,,,,,,
1971-72,"3,397","58,828",no data,"75,199","1,483",,,,,,,,,,,,,,,,,,,,,
1972-73,"3,240","54,778",no data,"70,651","1,437",,,,,,,,,,,,,,,,,,,,,
1973-74,"3,357","60,863",no data,"79,036","1,507",,,,,,,,,,,,,,,,,,,,,
1974-75,"3,498","65,635",no data,"85,786","1,517",,,,,,,,,,,,,,,,,,,,,
1975-76,"3,937","75,651",no data,"98,898","1,580",,,,,,,,,,,,,,,,,,,,,
1976-77,"4,079","82,728",no data,"108,870","1,672",,,,,,,,,,,,,,,,,,,,,
1977-78,"4,323","93,313",no data,"122,561","1,735",,,,,,,,,,,,,,,,,,,,,
1978-79,"4,585","106,052",no data,"139,544","1,795",,,,,,,,,,,,,,,,,,,,,
1979-80,"4,950","119,918",no data,"160,214","1,868",,,,,,,,,,,,,,,,,,,,,
